"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",4.49254904506687,0.0138338059652401,324.751486059238,0
"2","TOBACCOYes",0.269540126265787,0.0353574062013915,7.62330032725024,2.53011009553752e-14
"3","OBESITYYes",-0.3820524889742,0.0242333932426171,-15.7655382863312,8.07597945701615e-56
"4","SEXfemale",0.266824015058135,0.0199034100006372,13.4059447627111,6.91339792135634e-41
